Date,Issuing Country,Sanction Type,Target Country,Description,Source
2022-02-24,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-02-25,EU,Trade,Russia,New sanctions imposed,Simulated
2022-02-26,USA,Trade,Russia,New sanctions imposed,Simulated
2022-02-27,USA,Trade,Russia,New sanctions imposed,Simulated
2022-02-28,UK,Trade,Russia,New sanctions imposed,Simulated
2022-03-01,USA,Trade,Russia,New sanctions imposed,Simulated
2022-03-02,UK,Financial,Russia,New sanctions imposed,Simulated
2022-03-03,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-04,USA,Trade,Russia,New sanctions imposed,Simulated
2022-03-05,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-06,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-07,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-08,USA,Financial,Russia,New sanctions imposed,Simulated
2022-03-09,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-10,EU,Trade,Russia,New sanctions imposed,Simulated
2022-03-11,USA,Trade,Russia,New sanctions imposed,Simulated
2022-03-12,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-13,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-14,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-15,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-16,EU,Trade,Russia,New sanctions imposed,Simulated
2022-03-17,EU,Financial,Russia,New sanctions imposed,Simulated
2022-03-18,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-19,EU,Financial,Russia,New sanctions imposed,Simulated
2022-03-20,UK,Trade,Russia,New sanctions imposed,Simulated
2022-03-21,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-22,USA,Trade,Russia,New sanctions imposed,Simulated
2022-03-23,UK,Financial,Russia,New sanctions imposed,Simulated
2022-03-24,EU,Financial,Russia,New sanctions imposed,Simulated
2022-03-25,USA,Financial,Russia,New sanctions imposed,Simulated
2022-03-26,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-27,EU,Trade,Russia,New sanctions imposed,Simulated
2022-03-28,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-29,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-30,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-03-31,EU,Financial,Russia,New sanctions imposed,Simulated
2022-04-01,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-02,UK,Financial,Russia,New sanctions imposed,Simulated
2022-04-03,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-04,UK,Financial,Russia,New sanctions imposed,Simulated
2022-04-05,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-04-06,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-07,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-04-08,USA,Trade,Russia,New sanctions imposed,Simulated
2022-04-09,EU,Financial,Russia,New sanctions imposed,Simulated
2022-04-10,UK,Trade,Russia,New sanctions imposed,Simulated
2022-04-11,USA,Trade,Russia,New sanctions imposed,Simulated
2022-04-12,UK,Trade,Russia,New sanctions imposed,Simulated
2022-04-13,EU,Trade,Russia,New sanctions imposed,Simulated
2022-04-14,USA,Trade,Russia,New sanctions imposed,Simulated
2022-04-15,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-04-16,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-04-17,EU,Trade,Russia,New sanctions imposed,Simulated
2022-04-18,EU,Trade,Russia,New sanctions imposed,Simulated
2022-04-19,UK,Trade,Russia,New sanctions imposed,Simulated
2022-04-20,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-21,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-22,UK,Financial,Russia,New sanctions imposed,Simulated
2022-04-23,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-04-24,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-25,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-26,EU,Financial,Russia,New sanctions imposed,Simulated
2022-04-27,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-04-28,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-04-29,USA,Financial,Russia,New sanctions imposed,Simulated
2022-04-30,EU,Financial,Russia,New sanctions imposed,Simulated
2022-05-01,EU,Financial,Russia,New sanctions imposed,Simulated
2022-05-02,UK,Financial,Russia,New sanctions imposed,Simulated
2022-05-03,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-04,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-05,UK,Trade,Russia,New sanctions imposed,Simulated
2022-05-06,EU,Trade,Russia,New sanctions imposed,Simulated
2022-05-07,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-08,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-09,UK,Trade,Russia,New sanctions imposed,Simulated
2022-05-10,UK,Financial,Russia,New sanctions imposed,Simulated
2022-05-11,EU,Financial,Russia,New sanctions imposed,Simulated
2022-05-12,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-13,EU,Trade,Russia,New sanctions imposed,Simulated
2022-05-14,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-15,USA,Trade,Russia,New sanctions imposed,Simulated
2022-05-16,UK,Financial,Russia,New sanctions imposed,Simulated
2022-05-17,EU,Trade,Russia,New sanctions imposed,Simulated
2022-05-18,UK,Financial,Russia,New sanctions imposed,Simulated
2022-05-19,EU,Trade,Russia,New sanctions imposed,Simulated
2022-05-20,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-21,USA,Trade,Russia,New sanctions imposed,Simulated
2022-05-22,USA,Financial,Russia,New sanctions imposed,Simulated
2022-05-23,EU,Trade,Russia,New sanctions imposed,Simulated
2022-05-24,EU,Trade,Russia,New sanctions imposed,Simulated
2022-05-25,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-26,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-27,UK,Financial,Russia,New sanctions imposed,Simulated
2022-05-28,USA,Financial,Russia,New sanctions imposed,Simulated
2022-05-29,EU,Trade,Russia,New sanctions imposed,Simulated
2022-05-30,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-05-31,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-01,USA,Trade,Russia,New sanctions imposed,Simulated
2022-06-02,UK,Financial,Russia,New sanctions imposed,Simulated
2022-06-03,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-04,EU,Financial,Russia,New sanctions imposed,Simulated
2022-06-05,EU,Financial,Russia,New sanctions imposed,Simulated
2022-06-06,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-07,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-08,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-09,EU,Financial,Russia,New sanctions imposed,Simulated
2022-06-10,UK,Trade,Russia,New sanctions imposed,Simulated
2022-06-11,EU,Financial,Russia,New sanctions imposed,Simulated
2022-06-12,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-13,EU,Trade,Russia,New sanctions imposed,Simulated
2022-06-14,USA,Trade,Russia,New sanctions imposed,Simulated
2022-06-15,UK,Trade,Russia,New sanctions imposed,Simulated
2022-06-16,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-17,UK,Financial,Russia,New sanctions imposed,Simulated
2022-06-18,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-19,UK,Trade,Russia,New sanctions imposed,Simulated
2022-06-20,USA,Financial,Russia,New sanctions imposed,Simulated
2022-06-21,USA,Trade,Russia,New sanctions imposed,Simulated
2022-06-22,EU,Financial,Russia,New sanctions imposed,Simulated
2022-06-23,UK,Trade,Russia,New sanctions imposed,Simulated
2022-06-24,UK,Financial,Russia,New sanctions imposed,Simulated
2022-06-25,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-26,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-27,USA,Trade,Russia,New sanctions imposed,Simulated
2022-06-28,EU,Trade,Russia,New sanctions imposed,Simulated
2022-06-29,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-06-30,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-07-01,UK,Financial,Russia,New sanctions imposed,Simulated
2022-07-02,USA,Financial,Russia,New sanctions imposed,Simulated
2022-07-03,UK,Financial,Russia,New sanctions imposed,Simulated
2022-07-04,USA,Trade,Russia,New sanctions imposed,Simulated
2022-07-05,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-07-06,USA,Trade,Russia,New sanctions imposed,Simulated
2022-07-07,USA,Financial,Russia,New sanctions imposed,Simulated
2022-07-08,EU,Trade,Russia,New sanctions imposed,Simulated
2022-07-09,USA,Financial,Russia,New sanctions imposed,Simulated
2022-07-10,EU,Financial,Russia,New sanctions imposed,Simulated
2022-07-11,USA,Trade,Russia,New sanctions imposed,Simulated
2022-07-12,EU,Financial,Russia,New sanctions imposed,Simulated
2022-07-13,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-07-14,UK,Trade,Russia,New sanctions imposed,Simulated
2022-07-15,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-07-16,EU,Financial,Russia,New sanctions imposed,Simulated
2022-07-17,UK,Trade,Russia,New sanctions imposed,Simulated
2022-07-18,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-07-19,UK,Trade,Russia,New sanctions imposed,Simulated
2022-07-20,UK,Trade,Russia,New sanctions imposed,Simulated
2022-07-21,EU,Financial,Russia,New sanctions imposed,Simulated
2022-07-22,UK,Trade,Russia,New sanctions imposed,Simulated
2022-07-23,EU,Financial,Russia,New sanctions imposed,Simulated
2022-07-24,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-07-25,USA,Trade,Russia,New sanctions imposed,Simulated
2022-07-26,USA,Trade,Russia,New sanctions imposed,Simulated
2022-07-27,UK,Trade,Russia,New sanctions imposed,Simulated
2022-07-28,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-07-29,USA,Trade,Russia,New sanctions imposed,Simulated
2022-07-30,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-07-31,EU,Financial,Russia,New sanctions imposed,Simulated
2022-08-01,EU,Financial,Russia,New sanctions imposed,Simulated
2022-08-02,UK,Trade,Russia,New sanctions imposed,Simulated
2022-08-03,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-08-04,UK,Financial,Russia,New sanctions imposed,Simulated
2022-08-05,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-08-06,USA,Financial,Russia,New sanctions imposed,Simulated
2022-08-07,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-08-08,UK,Trade,Russia,New sanctions imposed,Simulated
2022-08-09,UK,Financial,Russia,New sanctions imposed,Simulated
2022-08-10,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-08-11,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-08-12,UK,Trade,Russia,New sanctions imposed,Simulated
2022-08-13,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-08-14,USA,Trade,Russia,New sanctions imposed,Simulated
2022-08-15,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-08-16,EU,Financial,Russia,New sanctions imposed,Simulated
2022-08-17,UK,Trade,Russia,New sanctions imposed,Simulated
2022-08-18,EU,Trade,Russia,New sanctions imposed,Simulated
2022-08-19,USA,Trade,Russia,New sanctions imposed,Simulated
2022-08-20,EU,Trade,Russia,New sanctions imposed,Simulated
2022-08-21,UK,Trade,Russia,New sanctions imposed,Simulated
2022-08-22,EU,Trade,Russia,New sanctions imposed,Simulated
2022-08-23,UK,Financial,Russia,New sanctions imposed,Simulated
2022-08-24,UK,Financial,Russia,New sanctions imposed,Simulated
2022-08-25,USA,Financial,Russia,New sanctions imposed,Simulated
2022-08-26,USA,Trade,Russia,New sanctions imposed,Simulated
2022-08-27,EU,Trade,Russia,New sanctions imposed,Simulated
2022-08-28,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-08-29,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-08-30,UK,Trade,Russia,New sanctions imposed,Simulated
2022-08-31,UK,Financial,Russia,New sanctions imposed,Simulated
2022-09-01,UK,Trade,Russia,New sanctions imposed,Simulated
2022-09-02,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-09-03,UK,Trade,Russia,New sanctions imposed,Simulated
2022-09-04,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-09-05,EU,Trade,Russia,New sanctions imposed,Simulated
2022-09-06,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-09-07,USA,Trade,Russia,New sanctions imposed,Simulated
2022-09-08,USA,Trade,Russia,New sanctions imposed,Simulated
2022-09-09,UK,Trade,Russia,New sanctions imposed,Simulated
2022-09-10,USA,Financial,Russia,New sanctions imposed,Simulated
2022-09-11,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-09-12,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-09-13,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-09-14,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-09-15,USA,Trade,Russia,New sanctions imposed,Simulated
2022-09-16,USA,Financial,Russia,New sanctions imposed,Simulated
2022-09-17,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-09-18,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-09-19,UK,Trade,Russia,New sanctions imposed,Simulated
2022-09-20,USA,Trade,Russia,New sanctions imposed,Simulated
2022-09-21,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-09-22,UK,Financial,Russia,New sanctions imposed,Simulated
2022-09-23,UK,Trade,Russia,New sanctions imposed,Simulated
2022-09-24,USA,Financial,Russia,New sanctions imposed,Simulated
2022-09-25,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-09-26,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-09-27,USA,Financial,Russia,New sanctions imposed,Simulated
2022-09-28,USA,Financial,Russia,New sanctions imposed,Simulated
2022-09-29,EU,Financial,Russia,New sanctions imposed,Simulated
2022-09-30,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-10-01,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-10-02,UK,Trade,Russia,New sanctions imposed,Simulated
2022-10-03,USA,Financial,Russia,New sanctions imposed,Simulated
2022-10-04,USA,Financial,Russia,New sanctions imposed,Simulated
2022-10-05,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-10-06,UK,Trade,Russia,New sanctions imposed,Simulated
2022-10-07,EU,Trade,Russia,New sanctions imposed,Simulated
2022-10-08,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-10-09,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-10-10,EU,Trade,Russia,New sanctions imposed,Simulated
2022-10-11,EU,Financial,Russia,New sanctions imposed,Simulated
2022-10-12,UK,Financial,Russia,New sanctions imposed,Simulated
2022-10-13,UK,Trade,Russia,New sanctions imposed,Simulated
2022-10-14,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-10-15,EU,Trade,Russia,New sanctions imposed,Simulated
2022-10-16,USA,Financial,Russia,New sanctions imposed,Simulated
2022-10-17,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-10-18,UK,Trade,Russia,New sanctions imposed,Simulated
2022-10-19,UK,Financial,Russia,New sanctions imposed,Simulated
2022-10-20,EU,Financial,Russia,New sanctions imposed,Simulated
2022-10-21,EU,Financial,Russia,New sanctions imposed,Simulated
2022-10-22,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-10-23,EU,Trade,Russia,New sanctions imposed,Simulated
2022-10-24,EU,Financial,Russia,New sanctions imposed,Simulated
2022-10-25,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-10-26,EU,Financial,Russia,New sanctions imposed,Simulated
2022-10-27,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-10-28,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-10-29,UK,Trade,Russia,New sanctions imposed,Simulated
2022-10-30,USA,Financial,Russia,New sanctions imposed,Simulated
2022-10-31,UK,Trade,Russia,New sanctions imposed,Simulated
2022-11-01,EU,Trade,Russia,New sanctions imposed,Simulated
2022-11-02,UK,Financial,Russia,New sanctions imposed,Simulated
2022-11-03,USA,Trade,Russia,New sanctions imposed,Simulated
2022-11-04,UK,Trade,Russia,New sanctions imposed,Simulated
2022-11-05,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-11-06,EU,Trade,Russia,New sanctions imposed,Simulated
2022-11-07,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-11-08,EU,Financial,Russia,New sanctions imposed,Simulated
2022-11-09,EU,Financial,Russia,New sanctions imposed,Simulated
2022-11-10,EU,Financial,Russia,New sanctions imposed,Simulated
2022-11-11,UK,Trade,Russia,New sanctions imposed,Simulated
2022-11-12,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-11-13,EU,Trade,Russia,New sanctions imposed,Simulated
2022-11-14,EU,Financial,Russia,New sanctions imposed,Simulated
2022-11-15,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-11-16,UK,Trade,Russia,New sanctions imposed,Simulated
2022-11-17,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-11-18,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-11-19,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-11-20,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-11-21,EU,Trade,Russia,New sanctions imposed,Simulated
2022-11-22,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-11-23,USA,Financial,Russia,New sanctions imposed,Simulated
2022-11-24,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-11-25,USA,Trade,Russia,New sanctions imposed,Simulated
2022-11-26,USA,Trade,Russia,New sanctions imposed,Simulated
2022-11-27,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-11-28,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-11-29,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-11-30,UK,Trade,Russia,New sanctions imposed,Simulated
2022-12-01,USA,Financial,Russia,New sanctions imposed,Simulated
2022-12-02,EU,Trade,Russia,New sanctions imposed,Simulated
2022-12-03,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2022-12-04,EU,Trade,Russia,New sanctions imposed,Simulated
2022-12-05,UK,Financial,Russia,New sanctions imposed,Simulated
2022-12-06,EU,Trade,Russia,New sanctions imposed,Simulated
2022-12-07,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-12-08,UK,Financial,Russia,New sanctions imposed,Simulated
2022-12-09,EU,Financial,Russia,New sanctions imposed,Simulated
2022-12-10,EU,Trade,Russia,New sanctions imposed,Simulated
2022-12-11,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-12-12,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-12-13,UK,Trade,Russia,New sanctions imposed,Simulated
2022-12-14,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-12-15,USA,Financial,Russia,New sanctions imposed,Simulated
2022-12-16,UK,Trade,Russia,New sanctions imposed,Simulated
2022-12-17,EU,Financial,Russia,New sanctions imposed,Simulated
2022-12-18,EU,Financial,Russia,New sanctions imposed,Simulated
2022-12-19,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-12-20,USA,Financial,Russia,New sanctions imposed,Simulated
2022-12-21,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-12-22,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-12-23,USA,Trade,Russia,New sanctions imposed,Simulated
2022-12-24,USA,Financial,Russia,New sanctions imposed,Simulated
2022-12-25,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-12-26,UK,Trade,Russia,New sanctions imposed,Simulated
2022-12-27,USA,Financial,Russia,New sanctions imposed,Simulated
2022-12-28,UK,Financial,Russia,New sanctions imposed,Simulated
2022-12-29,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2022-12-30,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2022-12-31,UK,Trade,Russia,New sanctions imposed,Simulated
2023-01-01,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-01-02,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-01-03,UK,Financial,Russia,New sanctions imposed,Simulated
2023-01-04,EU,Financial,Russia,New sanctions imposed,Simulated
2023-01-05,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-01-06,UK,Trade,Russia,New sanctions imposed,Simulated
2023-01-07,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-01-08,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-01-09,USA,Trade,Russia,New sanctions imposed,Simulated
2023-01-10,USA,Financial,Russia,New sanctions imposed,Simulated
2023-01-11,EU,Financial,Russia,New sanctions imposed,Simulated
2023-01-12,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-01-13,EU,Trade,Russia,New sanctions imposed,Simulated
2023-01-14,EU,Financial,Russia,New sanctions imposed,Simulated
2023-01-15,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-01-16,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-01-17,UK,Trade,Russia,New sanctions imposed,Simulated
2023-01-18,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-01-19,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-01-20,EU,Financial,Russia,New sanctions imposed,Simulated
2023-01-21,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-01-22,USA,Trade,Russia,New sanctions imposed,Simulated
2023-01-23,EU,Trade,Russia,New sanctions imposed,Simulated
2023-01-24,USA,Trade,Russia,New sanctions imposed,Simulated
2023-01-25,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-01-26,USA,Financial,Russia,New sanctions imposed,Simulated
2023-01-27,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-01-28,EU,Trade,Russia,New sanctions imposed,Simulated
2023-01-29,UK,Trade,Russia,New sanctions imposed,Simulated
2023-01-30,USA,Trade,Russia,New sanctions imposed,Simulated
2023-01-31,UK,Financial,Russia,New sanctions imposed,Simulated
2023-02-01,UK,Trade,Russia,New sanctions imposed,Simulated
2023-02-02,UK,Financial,Russia,New sanctions imposed,Simulated
2023-02-03,EU,Trade,Russia,New sanctions imposed,Simulated
2023-02-04,UK,Trade,Russia,New sanctions imposed,Simulated
2023-02-05,EU,Financial,Russia,New sanctions imposed,Simulated
2023-02-06,EU,Financial,Russia,New sanctions imposed,Simulated
2023-02-07,USA,Trade,Russia,New sanctions imposed,Simulated
2023-02-08,UK,Financial,Russia,New sanctions imposed,Simulated
2023-02-09,EU,Trade,Russia,New sanctions imposed,Simulated
2023-02-10,USA,Financial,Russia,New sanctions imposed,Simulated
2023-02-11,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-02-12,USA,Trade,Russia,New sanctions imposed,Simulated
2023-02-13,USA,Trade,Russia,New sanctions imposed,Simulated
2023-02-14,USA,Financial,Russia,New sanctions imposed,Simulated
2023-02-15,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-02-16,EU,Financial,Russia,New sanctions imposed,Simulated
2023-02-17,EU,Financial,Russia,New sanctions imposed,Simulated
2023-02-18,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-02-19,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-02-20,EU,Trade,Russia,New sanctions imposed,Simulated
2023-02-21,UK,Trade,Russia,New sanctions imposed,Simulated
2023-02-22,UK,Financial,Russia,New sanctions imposed,Simulated
2023-02-23,USA,Trade,Russia,New sanctions imposed,Simulated
2023-02-24,USA,Trade,Russia,New sanctions imposed,Simulated
2023-02-25,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-02-26,UK,Financial,Russia,New sanctions imposed,Simulated
2023-02-27,USA,Financial,Russia,New sanctions imposed,Simulated
2023-02-28,USA,Financial,Russia,New sanctions imposed,Simulated
2023-03-01,UK,Financial,Russia,New sanctions imposed,Simulated
2023-03-02,UK,Financial,Russia,New sanctions imposed,Simulated
2023-03-03,EU,Trade,Russia,New sanctions imposed,Simulated
2023-03-04,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-03-05,USA,Trade,Russia,New sanctions imposed,Simulated
2023-03-06,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-03-07,UK,Financial,Russia,New sanctions imposed,Simulated
2023-03-08,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-03-09,EU,Trade,Russia,New sanctions imposed,Simulated
2023-03-10,EU,Trade,Russia,New sanctions imposed,Simulated
2023-03-11,UK,Financial,Russia,New sanctions imposed,Simulated
2023-03-12,EU,Financial,Russia,New sanctions imposed,Simulated
2023-03-13,EU,Financial,Russia,New sanctions imposed,Simulated
2023-03-14,EU,Trade,Russia,New sanctions imposed,Simulated
2023-03-15,UK,Trade,Russia,New sanctions imposed,Simulated
2023-03-16,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-03-17,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-03-18,EU,Financial,Russia,New sanctions imposed,Simulated
