Date,Issuing Country,Sanction Type,Target Country,Description,Source
2023-03-19,UK,Trade,Russia,New sanctions imposed,Simulated
2023-03-20,EU,Financial,Russia,New sanctions imposed,Simulated
2023-03-21,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-03-22,UK,Trade,Russia,New sanctions imposed,Simulated
2023-03-23,EU,Trade,Russia,New sanctions imposed,Simulated
2023-03-24,EU,Trade,Russia,New sanctions imposed,Simulated
2023-03-25,EU,Trade,Russia,New sanctions imposed,Simulated
2023-03-26,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-03-27,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-03-28,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-03-29,UK,Trade,Russia,New sanctions imposed,Simulated
2023-03-30,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-03-31,USA,Financial,Russia,New sanctions imposed,Simulated
2023-04-01,USA,Financial,Russia,New sanctions imposed,Simulated
2023-04-02,EU,Financial,Russia,New sanctions imposed,Simulated
2023-04-03,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-04-04,USA,Financial,Russia,New sanctions imposed,Simulated
2023-04-05,EU,Financial,Russia,New sanctions imposed,Simulated
2023-04-06,USA,Trade,Russia,New sanctions imposed,Simulated
2023-04-07,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-04-08,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-04-09,UK,Financial,Russia,New sanctions imposed,Simulated
2023-04-10,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-04-11,EU,Financial,Russia,New sanctions imposed,Simulated
2023-04-12,EU,Financial,Russia,New sanctions imposed,Simulated
2023-04-13,USA,Financial,Russia,New sanctions imposed,Simulated
2023-04-14,EU,Trade,Russia,New sanctions imposed,Simulated
2023-04-15,USA,Trade,Russia,New sanctions imposed,Simulated
2023-04-16,EU,Financial,Russia,New sanctions imposed,Simulated
2023-04-17,USA,Financial,Russia,New sanctions imposed,Simulated
2023-04-18,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-04-19,EU,Financial,Russia,New sanctions imposed,Simulated
2023-04-20,EU,Financial,Russia,New sanctions imposed,Simulated
2023-04-21,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-04-22,USA,Financial,Russia,New sanctions imposed,Simulated
2023-04-23,EU,Financial,Russia,New sanctions imposed,Simulated
2023-04-24,EU,Financial,Russia,New sanctions imposed,Simulated
2023-04-25,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-04-26,UK,Trade,Russia,New sanctions imposed,Simulated
2023-04-27,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-04-28,EU,Trade,Russia,New sanctions imposed,Simulated
2023-04-29,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-04-30,USA,Trade,Russia,New sanctions imposed,Simulated
2023-05-01,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-05-02,EU,Trade,Russia,New sanctions imposed,Simulated
2023-05-03,UK,Financial,Russia,New sanctions imposed,Simulated
2023-05-04,USA,Trade,Russia,New sanctions imposed,Simulated
2023-05-05,USA,Financial,Russia,New sanctions imposed,Simulated
2023-05-06,USA,Financial,Russia,New sanctions imposed,Simulated
2023-05-07,USA,Trade,Russia,New sanctions imposed,Simulated
2023-05-08,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-05-09,USA,Trade,Russia,New sanctions imposed,Simulated
2023-05-10,EU,Trade,Russia,New sanctions imposed,Simulated
2023-05-11,EU,Trade,Russia,New sanctions imposed,Simulated
2023-05-12,USA,Trade,Russia,New sanctions imposed,Simulated
2023-05-13,USA,Financial,Russia,New sanctions imposed,Simulated
2023-05-14,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-05-15,USA,Financial,Russia,New sanctions imposed,Simulated
2023-05-16,USA,Trade,Russia,New sanctions imposed,Simulated
2023-05-17,EU,Trade,Russia,New sanctions imposed,Simulated
2023-05-18,UK,Financial,Russia,New sanctions imposed,Simulated
2023-05-19,UK,Financial,Russia,New sanctions imposed,Simulated
2023-05-20,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-05-21,EU,Financial,Russia,New sanctions imposed,Simulated
2023-05-22,UK,Trade,Russia,New sanctions imposed,Simulated
2023-05-23,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-05-24,USA,Trade,Russia,New sanctions imposed,Simulated
2023-05-25,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-05-26,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-05-27,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-05-28,EU,Financial,Russia,New sanctions imposed,Simulated
2023-05-29,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-05-30,UK,Financial,Russia,New sanctions imposed,Simulated
2023-05-31,UK,Financial,Russia,New sanctions imposed,Simulated
2023-06-01,USA,Financial,Russia,New sanctions imposed,Simulated
2023-06-02,EU,Trade,Russia,New sanctions imposed,Simulated
2023-06-03,USA,Financial,Russia,New sanctions imposed,Simulated
2023-06-04,EU,Financial,Russia,New sanctions imposed,Simulated
2023-06-05,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-06-06,EU,Financial,Russia,New sanctions imposed,Simulated
2023-06-07,USA,Trade,Russia,New sanctions imposed,Simulated
2023-06-08,UK,Financial,Russia,New sanctions imposed,Simulated
2023-06-09,USA,Trade,Russia,New sanctions imposed,Simulated
2023-06-10,UK,Financial,Russia,New sanctions imposed,Simulated
2023-06-11,EU,Trade,Russia,New sanctions imposed,Simulated
2023-06-12,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-06-13,EU,Financial,Russia,New sanctions imposed,Simulated
2023-06-14,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-06-15,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-06-16,USA,Financial,Russia,New sanctions imposed,Simulated
2023-06-17,UK,Trade,Russia,New sanctions imposed,Simulated
2023-06-18,UK,Trade,Russia,New sanctions imposed,Simulated
2023-06-19,EU,Trade,Russia,New sanctions imposed,Simulated
2023-06-20,USA,Financial,Russia,New sanctions imposed,Simulated
2023-06-21,UK,Trade,Russia,New sanctions imposed,Simulated
2023-06-22,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-06-23,EU,Financial,Russia,New sanctions imposed,Simulated
2023-06-24,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-06-25,UK,Trade,Russia,New sanctions imposed,Simulated
2023-06-26,EU,Financial,Russia,New sanctions imposed,Simulated
2023-06-27,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-06-28,EU,Trade,Russia,New sanctions imposed,Simulated
2023-06-29,EU,Financial,Russia,New sanctions imposed,Simulated
2023-06-30,EU,Trade,Russia,New sanctions imposed,Simulated
2023-07-01,UK,Financial,Russia,New sanctions imposed,Simulated
2023-07-02,UK,Trade,Russia,New sanctions imposed,Simulated
2023-07-03,UK,Trade,Russia,New sanctions imposed,Simulated
2023-07-04,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-07-05,USA,Trade,Russia,New sanctions imposed,Simulated
2023-07-06,UK,Financial,Russia,New sanctions imposed,Simulated
2023-07-07,EU,Trade,Russia,New sanctions imposed,Simulated
2023-07-08,EU,Financial,Russia,New sanctions imposed,Simulated
2023-07-09,USA,Financial,Russia,New sanctions imposed,Simulated
2023-07-10,UK,Financial,Russia,New sanctions imposed,Simulated
2023-07-11,EU,Financial,Russia,New sanctions imposed,Simulated
2023-07-12,USA,Financial,Russia,New sanctions imposed,Simulated
2023-07-13,USA,Trade,Russia,New sanctions imposed,Simulated
2023-07-14,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-07-15,EU,Financial,Russia,New sanctions imposed,Simulated
2023-07-16,UK,Trade,Russia,New sanctions imposed,Simulated
2023-07-17,EU,Financial,Russia,New sanctions imposed,Simulated
2023-07-18,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-07-19,UK,Financial,Russia,New sanctions imposed,Simulated
2023-07-20,UK,Trade,Russia,New sanctions imposed,Simulated
2023-07-21,USA,Trade,Russia,New sanctions imposed,Simulated
2023-07-22,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-07-23,USA,Financial,Russia,New sanctions imposed,Simulated
2023-07-24,USA,Trade,Russia,New sanctions imposed,Simulated
2023-07-25,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-07-26,UK,Financial,Russia,New sanctions imposed,Simulated
2023-07-27,UK,Trade,Russia,New sanctions imposed,Simulated
2023-07-28,EU,Financial,Russia,New sanctions imposed,Simulated
2023-07-29,USA,Financial,Russia,New sanctions imposed,Simulated
2023-07-30,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-07-31,USA,Financial,Russia,New sanctions imposed,Simulated
2023-08-01,EU,Trade,Russia,New sanctions imposed,Simulated
2023-08-02,UK,Financial,Russia,New sanctions imposed,Simulated
2023-08-03,EU,Trade,Russia,New sanctions imposed,Simulated
2023-08-04,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-08-05,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-08-06,UK,Trade,Russia,New sanctions imposed,Simulated
2023-08-07,UK,Trade,Russia,New sanctions imposed,Simulated
2023-08-08,UK,Trade,Russia,New sanctions imposed,Simulated
2023-08-09,USA,Financial,Russia,New sanctions imposed,Simulated
2023-08-10,USA,Financial,Russia,New sanctions imposed,Simulated
2023-08-11,UK,Financial,Russia,New sanctions imposed,Simulated
2023-08-12,UK,Financial,Russia,New sanctions imposed,Simulated
2023-08-13,USA,Trade,Russia,New sanctions imposed,Simulated
2023-08-14,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-08-15,EU,Trade,Russia,New sanctions imposed,Simulated
2023-08-16,UK,Trade,Russia,New sanctions imposed,Simulated
2023-08-17,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-08-18,UK,Financial,Russia,New sanctions imposed,Simulated
2023-08-19,UK,Trade,Russia,New sanctions imposed,Simulated
2023-08-20,UK,Trade,Russia,New sanctions imposed,Simulated
2023-08-21,USA,Trade,Russia,New sanctions imposed,Simulated
2023-08-22,UK,Trade,Russia,New sanctions imposed,Simulated
2023-08-23,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-08-24,UK,Financial,Russia,New sanctions imposed,Simulated
2023-08-25,EU,Financial,Russia,New sanctions imposed,Simulated
2023-08-26,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-08-27,USA,Financial,Russia,New sanctions imposed,Simulated
2023-08-28,UK,Financial,Russia,New sanctions imposed,Simulated
2023-08-29,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-08-30,UK,Trade,Russia,New sanctions imposed,Simulated
2023-08-31,EU,Financial,Russia,New sanctions imposed,Simulated
2023-09-01,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-09-02,USA,Trade,Russia,New sanctions imposed,Simulated
2023-09-03,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-09-04,UK,Trade,Russia,New sanctions imposed,Simulated
2023-09-05,UK,Financial,Russia,New sanctions imposed,Simulated
2023-09-06,EU,Financial,Russia,New sanctions imposed,Simulated
2023-09-07,EU,Trade,Russia,New sanctions imposed,Simulated
2023-09-08,EU,Trade,Russia,New sanctions imposed,Simulated
2023-09-09,EU,Trade,Russia,New sanctions imposed,Simulated
2023-09-10,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-09-11,UK,Financial,Russia,New sanctions imposed,Simulated
2023-09-12,USA,Financial,Russia,New sanctions imposed,Simulated
2023-09-13,EU,Financial,Russia,New sanctions imposed,Simulated
2023-09-14,UK,Financial,Russia,New sanctions imposed,Simulated
2023-09-15,EU,Financial,Russia,New sanctions imposed,Simulated
2023-09-16,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-09-17,USA,Trade,Russia,New sanctions imposed,Simulated
2023-09-18,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-09-19,EU,Trade,Russia,New sanctions imposed,Simulated
2023-09-20,USA,Financial,Russia,New sanctions imposed,Simulated
2023-09-21,EU,Trade,Russia,New sanctions imposed,Simulated
2023-09-22,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-09-23,EU,Trade,Russia,New sanctions imposed,Simulated
2023-09-24,EU,Financial,Russia,New sanctions imposed,Simulated
2023-09-25,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-09-26,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-09-27,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-09-28,USA,Financial,Russia,New sanctions imposed,Simulated
2023-09-29,USA,Trade,Russia,New sanctions imposed,Simulated
2023-09-30,USA,Trade,Russia,New sanctions imposed,Simulated
2023-10-01,UK,Trade,Russia,New sanctions imposed,Simulated
2023-10-02,USA,Trade,Russia,New sanctions imposed,Simulated
2023-10-03,EU,Financial,Russia,New sanctions imposed,Simulated
2023-10-04,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-10-05,EU,Trade,Russia,New sanctions imposed,Simulated
2023-10-06,USA,Trade,Russia,New sanctions imposed,Simulated
2023-10-07,UK,Financial,Russia,New sanctions imposed,Simulated
2023-10-08,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-10-09,USA,Financial,Russia,New sanctions imposed,Simulated
2023-10-10,USA,Financial,Russia,New sanctions imposed,Simulated
2023-10-11,EU,Financial,Russia,New sanctions imposed,Simulated
2023-10-12,UK,Financial,Russia,New sanctions imposed,Simulated
2023-10-13,USA,Financial,Russia,New sanctions imposed,Simulated
2023-10-14,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-10-15,EU,Trade,Russia,New sanctions imposed,Simulated
2023-10-16,USA,Financial,Russia,New sanctions imposed,Simulated
2023-10-17,USA,Financial,Russia,New sanctions imposed,Simulated
2023-10-18,USA,Trade,Russia,New sanctions imposed,Simulated
2023-10-19,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-10-20,EU,Financial,Russia,New sanctions imposed,Simulated
2023-10-21,USA,Financial,Russia,New sanctions imposed,Simulated
2023-10-22,EU,Trade,Russia,New sanctions imposed,Simulated
2023-10-23,UK,Financial,Russia,New sanctions imposed,Simulated
2023-10-24,EU,Financial,Russia,New sanctions imposed,Simulated
2023-10-25,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-10-26,EU,Trade,Russia,New sanctions imposed,Simulated
2023-10-27,EU,Financial,Russia,New sanctions imposed,Simulated
2023-10-28,UK,Trade,Russia,New sanctions imposed,Simulated
2023-10-29,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-10-30,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-10-31,USA,Financial,Russia,New sanctions imposed,Simulated
2023-11-01,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-11-02,EU,Trade,Russia,New sanctions imposed,Simulated
2023-11-03,EU,Trade,Russia,New sanctions imposed,Simulated
2023-11-04,USA,Financial,Russia,New sanctions imposed,Simulated
2023-11-05,USA,Financial,Russia,New sanctions imposed,Simulated
2023-11-06,USA,Financial,Russia,New sanctions imposed,Simulated
2023-11-07,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-11-08,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-11-09,USA,Financial,Russia,New sanctions imposed,Simulated
2023-11-10,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-11-11,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-11-12,USA,Trade,Russia,New sanctions imposed,Simulated
2023-11-13,USA,Financial,Russia,New sanctions imposed,Simulated
2023-11-14,EU,Trade,Russia,New sanctions imposed,Simulated
2023-11-15,UK,Financial,Russia,New sanctions imposed,Simulated
2023-11-16,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-11-17,EU,Financial,Russia,New sanctions imposed,Simulated
2023-11-18,USA,Trade,Russia,New sanctions imposed,Simulated
2023-11-19,EU,Trade,Russia,New sanctions imposed,Simulated
2023-11-20,EU,Financial,Russia,New sanctions imposed,Simulated
2023-11-21,EU,Financial,Russia,New sanctions imposed,Simulated
2023-11-22,USA,Trade,Russia,New sanctions imposed,Simulated
2023-11-23,EU,Financial,Russia,New sanctions imposed,Simulated
2023-11-24,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-11-25,USA,Financial,Russia,New sanctions imposed,Simulated
2023-11-26,UK,Financial,Russia,New sanctions imposed,Simulated
2023-11-27,USA,Financial,Russia,New sanctions imposed,Simulated
2023-11-28,USA,Trade,Russia,New sanctions imposed,Simulated
2023-11-29,UK,Trade,Russia,New sanctions imposed,Simulated
2023-11-30,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-01,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-02,USA,Financial,Russia,New sanctions imposed,Simulated
2023-12-03,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-04,UK,Financial,Russia,New sanctions imposed,Simulated
2023-12-05,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-06,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-07,EU,Trade,Russia,New sanctions imposed,Simulated
2023-12-08,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-09,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-10,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-11,UK,Financial,Russia,New sanctions imposed,Simulated
2023-12-12,UK,Trade,Russia,New sanctions imposed,Simulated
2023-12-13,EU,Financial,Russia,New sanctions imposed,Simulated
2023-12-14,EU,Trade,Russia,New sanctions imposed,Simulated
2023-12-15,USA,Trade,Russia,New sanctions imposed,Simulated
2023-12-16,EU,Financial,Russia,New sanctions imposed,Simulated
2023-12-17,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-18,UK,Financial,Russia,New sanctions imposed,Simulated
2023-12-19,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-20,EU,Financial,Russia,New sanctions imposed,Simulated
2023-12-21,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-22,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-23,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-24,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-25,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-26,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-27,USA,Trade,Russia,New sanctions imposed,Simulated
2023-12-28,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2023-12-29,EU,Financial,Russia,New sanctions imposed,Simulated
2023-12-30,USA,Trade,Russia,New sanctions imposed,Simulated
2023-12-31,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2024-01-01,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-01-02,EU,Financial,Russia,New sanctions imposed,Simulated
2024-01-03,USA,Financial,Russia,New sanctions imposed,Simulated
2024-01-04,UK,Trade,Russia,New sanctions imposed,Simulated
2024-01-05,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2024-01-06,UK,Financial,Russia,New sanctions imposed,Simulated
2024-01-07,USA,Financial,Russia,New sanctions imposed,Simulated
2024-01-08,EU,Trade,Russia,New sanctions imposed,Simulated
2024-01-09,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-01-10,USA,Trade,Russia,New sanctions imposed,Simulated
2024-01-11,EU,Financial,Russia,New sanctions imposed,Simulated
2024-01-12,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2024-01-13,USA,Financial,Russia,New sanctions imposed,Simulated
2024-01-14,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2024-01-15,UK,Financial,Russia,New sanctions imposed,Simulated
2024-01-16,EU,Trade,Russia,New sanctions imposed,Simulated
2024-01-17,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2024-01-18,USA,Financial,Russia,New sanctions imposed,Simulated
2024-01-19,UK,Trade,Russia,New sanctions imposed,Simulated
2024-01-20,EU,Financial,Russia,New sanctions imposed,Simulated
2024-01-21,UK,Financial,Russia,New sanctions imposed,Simulated
2024-01-22,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-01-23,EU,Financial,Russia,New sanctions imposed,Simulated
2024-01-24,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-01-25,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-01-26,USA,Financial,Russia,New sanctions imposed,Simulated
2024-01-27,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2024-01-28,UK,Trade,Russia,New sanctions imposed,Simulated
2024-01-29,USA,Financial,Russia,New sanctions imposed,Simulated
2024-01-30,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2024-01-31,USA,Financial,Russia,New sanctions imposed,Simulated
2024-02-01,EU,Trade,Russia,New sanctions imposed,Simulated
2024-02-02,EU,Financial,Russia,New sanctions imposed,Simulated
2024-02-03,EU,Financial,Russia,New sanctions imposed,Simulated
2024-02-04,EU,Trade,Russia,New sanctions imposed,Simulated
2024-02-05,EU,Financial,Russia,New sanctions imposed,Simulated
2024-02-06,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2024-02-07,UK,Trade,Russia,New sanctions imposed,Simulated
2024-02-08,USA,Trade,Russia,New sanctions imposed,Simulated
2024-02-09,USA,Financial,Russia,New sanctions imposed,Simulated
2024-02-10,USA,Financial,Russia,New sanctions imposed,Simulated
2024-02-11,UK,Trade,Russia,New sanctions imposed,Simulated
2024-02-12,UK,Trade,Russia,New sanctions imposed,Simulated
2024-02-13,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2024-02-14,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-02-15,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2024-02-16,UK,Trade,Russia,New sanctions imposed,Simulated
2024-02-17,USA,Trade,Russia,New sanctions imposed,Simulated
2024-02-18,EU,Trade,Russia,New sanctions imposed,Simulated
2024-02-19,EU,Financial,Russia,New sanctions imposed,Simulated
2024-02-20,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2024-02-21,UK,Trade,Russia,New sanctions imposed,Simulated
2024-02-22,UK,Financial,Russia,New sanctions imposed,Simulated
2024-02-23,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2024-02-24,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-02-25,USA,Trade,Russia,New sanctions imposed,Simulated
2024-02-26,USA,Trade,Russia,New sanctions imposed,Simulated
2024-02-27,USA,Financial,Russia,New sanctions imposed,Simulated
2024-02-28,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2024-02-29,UK,Trade,Russia,New sanctions imposed,Simulated
2024-03-01,UK,Financial,Russia,New sanctions imposed,Simulated
2024-03-02,USA,Financial,Russia,New sanctions imposed,Simulated
2024-03-03,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-04,USA,Financial,Russia,New sanctions imposed,Simulated
2024-03-05,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-06,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-07,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-08,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-09,UK,Trade,Russia,New sanctions imposed,Simulated
2024-03-10,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-11,USA,Trade,Russia,New sanctions imposed,Simulated
2024-03-12,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-13,EU,Financial,Russia,New sanctions imposed,Simulated
2024-03-14,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-15,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-16,USA,Trade,Russia,New sanctions imposed,Simulated
2024-03-17,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-18,USA,Financial,Russia,New sanctions imposed,Simulated
2024-03-19,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-20,UK,Financial,Russia,New sanctions imposed,Simulated
2024-03-21,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-22,EU,Financial,Russia,New sanctions imposed,Simulated
2024-03-23,UK,Trade,Russia,New sanctions imposed,Simulated
2024-03-24,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-25,USA,Financial,Russia,New sanctions imposed,Simulated
2024-03-26,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-27,USA,Trade,Russia,New sanctions imposed,Simulated
2024-03-28,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-29,EU,Financial,Russia,New sanctions imposed,Simulated
2024-03-30,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-03-31,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2024-04-01,EU,Financial,Russia,New sanctions imposed,Simulated
2024-04-02,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-04-03,UK,Travel Ban,Russia,New sanctions imposed,Simulated
2024-04-04,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2024-04-05,USA,Travel Ban,Russia,New sanctions imposed,Simulated
2024-04-06,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-04-07,EU,Travel Ban,Russia,New sanctions imposed,Simulated
2024-04-08,EU,Trade,Russia,New sanctions imposed,Simulated
2024-04-09,EU,Trade,Russia,New sanctions imposed,Simulated
2024-04-10,UK,Trade,Russia,New sanctions imposed,Simulated
